# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

69.171.229.18	star.facebook.com
74.125.225.32	www-google-analytics.l.google.com
74.217.85.40	bcpad36.iad.loc.dyn.crwdcntrl.net
23.61.199.129	ns3-129.akadns.net
208.109.255.4	ns08.domaincontrol.com
74.126.25.92	listsofjohn.com
199.7.69.1	pdns4.ultradns.org
204.154.94.81	www.evernote.com
74.201.0.130	gabriels.http.internapcdn.net
204.74.108.1	pdns1.ultradns.net
208.93.139.180	orig-10002.taboola.cotcdn.net
74.125.225.38	www-google-analytics.l.google.com
66.135.204.19	rover.ebay.com
107.21.232.80	lb-meter-svc-317837344.us-east-1.elb.amazonaws.com
64.94.107.29	ac-na.quantserve.com.akadns.net
157.166.226.108	www.money.com
74.125.225.44	blogspot.l.google.com
204.16.253.33	ns3.no-ip.com
63.112.168.90	gslb.ma.monster.com
64.215.255.81	widgets-lf.clearspring-lf.com.akadns.net
23.63.224.239	e5168.g.akamaiedge.net
8.19.200.225	nsdns1.bal.brightcove.com
74.125.225.50	www2.l.google.com
64.208.138.155	ib.adnxs.com
213.254.245.7	n1dsw4.akamai.net
66.171.230.7	n2dspe1.akamaiedge.net
54.240.160.89	d31qbv1cthcecs.cloudfront.net
208.80.124.13	ns6.dnsmadeeasy.com
156.154.69.68	pdns68.ultradns.co.uk
198.137.190.136	wes-dns1.oclc.org
64.208.138.161	ib.adnxs.com
198.63.196.218	n6c.akamaiedge.net
199.59.150.39	twitter.com
184.73.249.204	ping.chartbeat.net
66.171.230.13	n3dspe1.akamaiedge.net
208.80.152.200	donate.wikimedia.org
77.91.248.30	guardian.co.uk
198.173.2.197	n0c.akamaiedge.net
124.40.52.133	ns17-133.akadns.org
54.240.160.226	d1z2jf7jlzjs58.cloudfront.net
208.78.71.2	ns3.p02.dynect.net
69.164.16.16	tealium.hs.llnwd.net
208.78.71.8	ns3.p08.dynect.net
66.235.133.11	condenast.112.2o7.net
72.51.46.230	ns1.creativecommons.org
63.121.30.245	gslb.sb.monster.com
199.7.68.1	pdns3.ultradns.org
216.38.163.167	w40.b.cap-mii.net
208.78.71.14	ns3.p14.dynect.net
205.234.175.3	ns2.adns.cachefly.net
216.52.242.80	la.linkedin.com
193.108.88.194	n0e.akamai.net
66.150.28.89	markets.nytimes.wallst.com
74.125.225.211	www.google.com
98.142.96.13	dns13.cotdns.net
64.208.21.37	n7g.akamai.net
216.34.181.45	slashdot.org
132.174.11.84	www.worldcat.org
74.125.224.175	csi.gstatic.com
209.234.234.42	gtm02.wallst.com
204.93.213.74	ssl.shopify.com
66.235.132.118	condenast.112.2o7.net
23.63.207.139	e3821.dspe1.akamaiedge.net
66.6.32.134	usatoday.tumblr.com
64.74.101.75	c.3.brightcove.com
54.240.188.181	d1zgderxoe1a.cloudfront.net
137.227.231.76	geonames.nc-proxy-cr.usgs.gov.nsatc.net
204.119.131.238	n4g.akamai.net
212.81.32.109	ns3.domainnetwork.com
64.34.161.33	ns2.creativecommons.org
207.241.145.24	nydns1.about.com
74.125.233.23	id.l.google.com
208.78.70.2	ns1.p02.dynect.net
194.109.6.67	ns.xs4all.nl
207.171.170.1	ns-01.cloudfront.net
199.59.148.9	r.twimg.com
204.11.108.11	ns1.tribalfusion.com
61.244.110.205	cn.nytimes.com
208.78.70.8	ns1.p08.dynect.net
50.16.237.9	gci-prod-lb-743530114.us-east-1.elb.amazonaws.com
66.135.215.5	smf-dns2.ebaydns.com
208.78.70.14	ns1.p14.dynect.net
64.29.145.73	www.mtbaldyfire.com
205.128.71.51	us-fl-1.ns.c.footprint.net
74.125.225.128	youtube.com
72.21.208.213	ns-925.amazonaws.com
69.36.161.12	ns2.west-datacenter.net
64.215.255.40	widgets-lf.clearspring-lf.com.akadns.net
74.125.225.134	youtube.com
216.38.174.10	any-ns1.mirrorimage.net
98.138.81.72	any-ycpi-uno.aycpi.b.yahoodns.net
208.80.154.225	wikipedia-lb.eqiad.wikimedia.org
184.72.178.28	pixel.prod2.invitemedia.com
74.125.225.140	googlehosted.l.googleusercontent.com
66.235.138.19	condenast.112.2o7.net
193.108.88.129	ns1-129.akadns.net
64.208.138.120	ib.adnxs.com
192.122.184.73	a1317.g.akamai.net
69.171.239.10	glb1.facebook.com
23.15.7.9	a1725.dspl.akamai.net
95.100.168.129	ns6-129.akadns.net
23.21.55.152	lb-up-tracker-1378845633.us-east-1.elb.amazonaws.com
70.182.180.253	www.kleimo.com
206.165.250.244	cf.clearspring-lf.com.akadns.net
23.23.171.170	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
141.211.144.205	weblogin.umich.edu
64.94.107.12	ac-na.quantserve.com.akadns.net
192.122.184.85	n4e.akamai.net
23.63.173.177	e3353.dspe1.akamaiedge.net
74.125.225.158	ssl-google-analytics.l.google.com
64.94.107.18	anycast-americas.quantserve.com.akadns.net
199.59.149.230	twitter.com
